[     166ms] [LOG] 🔍 Browser logger active (MCP server detected). Posting to: https://muster.test/_boost/browser-logs @ https://muster.test/login:76
[     181ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[   15175ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[   45177ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  105179ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  165181ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  225182ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  285187ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  345188ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  405190ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
[  465190ms] [ERROR] WebSocket connection to 'wss://localhost:8080/app/u6ntwb5p9ms1mkhzwkz8?protocol=7&client=js&version=8.4.0&flash=false' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ https://muster.test/build/assets/app-By62FcNZ.js:1
